pair_id,dhash_distance,train_scenario,train_frame,train_image_path,train_image_sha256,train_person_gt,train_vehicle_gt,train_empty,test_scenario,test_frame,test_image_path,test_image_sha256,test_person_gt,test_vehicle_gt,test_empty,pair_image_path,object_position_similarity,object_size_similarity,occlusion_similarity,background_similarity,classification,classification_label,risk,judgement_basis,reviewer,reviewed_at
P01,1,T11_far_to_near,134,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T11_far_to_near__frame_0134.png,150B299B909F3AFF541EFC36A4F924CBC3628554DED82D088D1215E884050523,0,0,True,S1,79,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S1\initial_condition\frames\frame_0079.png,2B14F32A998585F743317312464BBA095D5F9DAE1B2A91950DB5DFD22F0A6197,2,1,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P01.png,"비교 불가: 학습 영상은 빈 프레임이고 S1에는 상단 잘림 사람 1, 중앙 사람 1, 차량 1이 있음",비교 불가: 학습 영상에 객체가 없음,비교 불가: 학습 영상에 객체가 없음,매우 높음: 동일한 나무 군집·지면 경계·우측 갈색 영역이 거의 같은 화면 위치에 있음,1,빈 화면 또는 배경만 유사,중간,"dHash 1의 원인은 거의 동일한 배경 구도이나, 학습 쪽에는 GT 객체가 전혀 없어 객체 구성의 직접 중복은 아님. 배경 맥락 누출 가능성은 남음.",Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P02,2,T11_far_to_near,134,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T11_far_to_near__frame_0134.png,150B299B909F3AFF541EFC36A4F924CBC3628554DED82D088D1215E884050523,0,0,True,S1,80,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S1\initial_condition\frames\frame_0080.png,CCCB0221A526983F385F8EE2FB6EEF1BE7AFA6ADA0D66AEC1DB65D977EA43F50,2,1,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P02.png,"비교 불가: 학습 영상은 빈 프레임이고 S1에는 사람 2, 차량 1이 있음",비교 불가: 학습 영상에 객체가 없음,비교 불가: 학습 영상에 객체가 없음,매우 높음: 나무·지면·색 영역의 배치가 학습 영상과 거의 동일하고 S1의 한 프레임 이동만 보임,1,빈 화면 또는 배경만 유사,중간,객체는 한쪽에만 존재하지만 시험 장면의 배경이 학습 영상과 사실상 같은 카메라 구도여서 완전 독립성에는 위험이 있음.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P03,3,T17_partial_occlusion,39,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0039.png,886EBF1957570271354ABF27F00885018A6129CD1C9963748E6574A8411D9CE3,1,1,False,S4,49,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0049.png,85A7E5B2883450AC80A3857DA61188C10AB7408FE3755CD0432415A7994F0A18,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P03.png,높음: 공통 사람 객체가 두 영상 모두 화면 상단 중앙 부근에 위치함,높음: 공통 사람 상자의 폭·높이가 유사함,다름: 학습 영상의 사람은 차량과 인접·부분 중첩되고 S4에는 차량 GT가 없음,매우 높음: 통나무·나무 군집·바위와 지면 경계가 소폭 평행 이동한 동일 구도임,3,객체 위치·크기·배경까지 매우 유사,높음,차량 클래스 구성은 다르지만 공통 사람의 위치·크기와 결정론적 배경 구도가 함께 매우 유사하여 객체 장면의 실질적 중복 가능성이 있음.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P04,3,T17_partial_occlusion,39,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0039.png,886EBF1957570271354ABF27F00885018A6129CD1C9963748E6574A8411D9CE3,1,1,False,S4,50,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0050.png,7CFD13EED6BBA0F6441AAB8492AC17626869FC941F18F2F0EC3B73D1CA6002C4,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P04.png,높음: 공통 사람이 두 영상 모두 상단 중앙의 같은 상대 위치에 있음,높음: 공통 사람 상자의 크기가 유사함,다름: 학습에서는 차량과 밀착하고 시험에서는 사람이 단독으로 보임,매우 높음: 동일 지형 소품과 나무 군집이 인접 프레임 수준으로 정렬됨,3,객체 위치·크기·배경까지 매우 유사,높음,공통 객체와 배경이 모두 강하게 일치하며 차이는 학습 쪽 차량 추가와 작은 카메라 이동에 집중됨.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P05,3,T17_partial_occlusion,39,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0039.png,886EBF1957570271354ABF27F00885018A6129CD1C9963748E6574A8411D9CE3,1,1,False,S4,51,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0051.png,A8B7375D2E3B669122BCA7314347D84FFA6FA49EEA79DE0E3FDC43A8DAF5F8B5,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P05.png,높음: 공통 사람이 상단 중앙의 거의 같은 정규화 위치에 있음,높음: 사람 상자의 크기와 세로 형태가 유사함,다름: 학습 사람은 차량 옆에 있고 시험 사람은 단독임,매우 높음: 통나무와 주변 나무·지면 경계의 구도가 거의 같음,3,객체 위치·크기·배경까지 매우 유사,높음,공통 사람의 위치·크기와 배경이 동시에 유사하여 파일이 다르더라도 시각적으로 독립된 장면으로 보기 어려움.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P06,4,T05_west_retreat_low,153,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T05_west_retreat_low__frame_0153.png,41CF920DD7C7392B8DC82605CC3411B62BD092F652CB837763976A1AB3BC0F9B,0,0,True,S3,35,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S3\initial_condition\frames\frame_0035.png,CEDE4559439BB56AC31DE7A4CE521B3B91DE1077E2E8A8D11CFAE692D25A4D8E,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P06.png,비교 불가: 학습 영상은 빈 프레임이고 S3에 사람 1명만 있음,비교 불가: 학습 영상에 객체가 없음,비교 불가: 학습 영상에 객체가 없음,높음: 통나무·나무·바위와 지면 경계가 비슷하나 화면 이동이 P01보다 큼,1,빈 화면 또는 배경만 유사,중간,객체 직접 중복은 없지만 동일 지형의 매우 유사한 카메라 구도가 시험 영상에 재등장함.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P07,4,T11_far_to_near,134,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T11_far_to_near__frame_0134.png,150B299B909F3AFF541EFC36A4F924CBC3628554DED82D088D1215E884050523,0,0,True,S1,78,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S1\initial_condition\frames\frame_0078.png,62A33235F4886D4113C6606BE6D2368C62B367E32C362AFD7D54FAF422862B61,2,1,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P07.png,"비교 불가: 학습 영상은 빈 프레임이고 S1에는 사람 2, 차량 1이 있음",비교 불가: 학습 영상에 객체가 없음,비교 불가: 학습 영상에 객체가 없음,매우 높음: 나무 군집과 두 지면 색 영역의 경계가 거의 같은 위치임,1,빈 화면 또는 배경만 유사,중간,배경은 사실상 동일하지만 학습 쪽이 빈 프레임이므로 객체 위치·크기 중복으로 분류하지 않음.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P08,4,T11_far_to_near,134,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T11_far_to_near__frame_0134.png,150B299B909F3AFF541EFC36A4F924CBC3628554DED82D088D1215E884050523,0,0,True,S1,81,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S1\initial_condition\frames\frame_0081.png,DE8C2EB957267CE945839D53E02AC2A547F29F958EADA6A3CF3938A3D5C831DA,2,1,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P08.png,"비교 불가: 학습 영상은 빈 프레임이고 S1에는 사람 2, 차량 1이 있음",비교 불가: 학습 영상에 객체가 없음,비교 불가: 학습 영상에 객체가 없음,매우 높음: 동일한 나무 군집과 지면 경계가 작은 프레임 이동만 보임,1,빈 화면 또는 배경만 유사,중간,객체 구성은 겹치지 않지만 배경 맥락이 학습 영상과 매우 가까워 독립 외부 시험으로 간주할 수 없음.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P09,4,T17_partial_occlusion,39,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0039.png,886EBF1957570271354ABF27F00885018A6129CD1C9963748E6574A8411D9CE3,1,1,False,S4,52,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0052.png,1ECA37B0C5B0BD0C50C5445101A6C190D4EF79D1E2B05CCD00C96AB6C906272F,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P09.png,높음: 공통 사람이 상단 중앙의 같은 영역에 있음,높음: 공통 사람 상자의 크기가 유사함,다름: 학습에서는 차량과 붙어 있고 시험에서는 사람이 고립됨,매우 높음: 같은 통나무·나무·바위 배열을 약간 이동한 구도임,3,객체 위치·크기·배경까지 매우 유사,높음,공통 사람과 배경의 결합 구도가 매우 유사하고 dHash 4이므로 객체 포함 장면의 실질적 중복 가능성을 배제할 수 없음.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
P10,4,T17_partial_occlusion,48,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0048.png,7F22D437731BB825CB1EBEBA526E77DD3BC96CEF095236BD1A1FDE8AF55F30EC,1,1,False,S4,58,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0058.png,D6775596723083F43B57D1BEB5C196B572781C777C7470BD3C216D0580019B67,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P10.png,높음: 공통 사람이 두 영상 모두 상단 중앙 부근에 있음,높음: 공통 사람 상자의 폭·높이가 유사함,다름: 학습 사람은 차량과 인접하고 시험은 사람 단독임,매우 높음: 나무 열·통나무·바위·갈색 지면의 상대 배치가 거의 동일함,3,객체 위치·크기·배경까지 매우 유사,높음,학습 T17과 시험 S4가 같은 배경 진행과 유사한 사람 투영 크기·위치를 공유함.,Codex direct visual inspection of all 16 lossless GT-overlay pairs,2026-09-03T15:33:05.3832835+09:00
