scenario_id,seed,source_frame_number,time_seconds,uav_xyz,image_path,label_path,image_sha256,label_sha256,frame_pair_sha256,perceptual_dhash64,person_gt,vehicle_gt,label_empty,split
T01_east_level_low,4101,1,0.0,"[-32, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0001.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0001.txt,BEE2ACE1963BE98EDD20282AA62DBF4C4FAF5C25E07D68236F2E044C572F6D9D,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,EE49634AAE87341042DC1CC6AAB888825EFD413DA3305F484C168161F3E09B0E,939B0E1606060606,0,0,True,train
T01_east_level_low,4101,10,0.9,"[-29.5, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0010.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0010.txt,9FFBC02D96B75131D9D39C6ABCBE14BAC031C19DABEFDEC1DF46A7F42F84F0F4,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,5972D9FA00B350A1662236239A942607319D962C9B47D80D4CEB02C67753C8ED,97939B6E06070607,0,0,True,train
T01_east_level_low,4101,20,1.9,"[-26.72222222222222, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0020.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0020.txt,E3772BBADE2CD1E14A76630BE7107D87A31A53DE2D64A18722525DAE3EFEBD13,39F82D15E5E0C248A3A3AF9CFA65BECB94DA8E5BBCEBF89E2CE25A7477914B89,27655D19B00B4CEE52A1D03D59F8B064AA00067999C92E9D5507DA3413406421,66B697935B870F07,1,0,False,train
T01_east_level_low,4101,29,2.8,"[-24.22222222222222, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0029.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0029.txt,F26913FC638812F6A239ACED7D19E16251AB8D2EC839646FB10AF8567A55A369,0A54F25BC5F08C0980E2AFAC08A2136FCFBD8344461688FC009CAC7224EFF667,0DDF6939748B216DC8DA1BFA1EBC8FCC0398B7FFADA69DDF302716148B4B6E9E,42663697939A4B07,1,1,False,train
T01_east_level_low,4101,39,3.8,"[-21.444444444444443, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0039.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0039.txt,BA3A6FCB03BB588529CE31DFB4A979A2A407F3B38CD6730A2545E0C38ACC882B,F578705476734E685949FD47D60F3BFB56B008A8B71A81FB553AE5530A733BDB,13AB13A3D9FAE2A1A420B9F561B1AD63EBEB9EC804A816FF15157181F677BCD2,C75346663633131A,1,1,False,train
T01_east_level_low,4101,48,4.7,"[-18.944444444444443, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0048.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0048.txt,EACD04AABAF26D04346996CA732A334CBCE4B07202B580FE689B4E4473E1B004,92D7A20F455065DDA863DCFFC03FAD9C8DEAC83A761A363CFFF77165D4C702FE,457A3CA9184891A3A836CEDAAAFB854E04BF415FDEE746242BB797D3061B8CA0,96CED2C7C7E73733,1,1,False,train
T01_east_level_low,4101,58,5.7,"[-16.166666666666668, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0058.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0058.txt,67500F06342E3F2B2E35F3BB17976D44692A2DFC95A31009AA1C62D65C72F13D,3F193DD1698F21027864A9F872E3B891EA47FF3D046FA2A100E92DD072DA4868,5350337FB83DF1F820BA4A329758F3FC060D35C86159AB6B10D2559C5DF8522A,B6928E86D3D6C7E7,1,1,False,train
T01_east_level_low,4101,67,6.6,"[-13.666666666666668, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0067.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0067.txt,0F537D05A4D6592506430A8DD55808B08037BDCFA06AB47D755D3B199AD3D0A9,4EE26EDED4999B49AA5E40C993F7EA92710D72C73C4088E808205D150ACCB3C7,8ABFECC6F912436CDBE5B9EAFF3E1698DFA31A8D875CB04F4F1BA459B07CCF9E,3636B2868E93D3D7,0,1,False,train
T01_east_level_low,4101,77,7.6,"[-10.88888888888889, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0077.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0077.txt,4F81EF04ED844E00877D76404B4429BC1165B9B10903BEE18BE4630DB7FFAF0E,E44012615955F612427226CB7B323F825EAEEF56668A2E49B47677CCAEE45D24,2DC3FA134C62FF1476074FF105D44FF116074E6793B16D4987624A38E47E99E6,92363617330FCF13,0,1,False,train
T01_east_level_low,4101,86,8.5,"[-8.38888888888889, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0086.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0086.txt,1EEB86FFD8A3EDE2F105DCB313B3BCA7997FAAF7B34FB36D40145C7CB1BF0938,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3B9DC6ADD17899F00B4BD2DA0210486ABEE07488C25B6DF8A49D4559E9446210,C62BB3373653330F,0,0,True,train
