pair_id,dhash_distance,train_scenario,train_frame,train_image_path,train_image_sha256,train_person_gt,train_vehicle_gt,train_empty,test_scenario,test_frame,test_image_path,test_image_sha256,test_person_gt,test_vehicle_gt,test_empty,pair_image_path
P01,1,T11_far_to_near,134,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T11_far_to_near__frame_0134.png,150B299B909F3AFF541EFC36A4F924CBC3628554DED82D088D1215E884050523,0,0,True,S1,79,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S1\initial_condition\frames\frame_0079.png,2B14F32A998585F743317312464BBA095D5F9DAE1B2A91950DB5DFD22F0A6197,2,1,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P01.png
P02,2,T11_far_to_near,134,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T11_far_to_near__frame_0134.png,150B299B909F3AFF541EFC36A4F924CBC3628554DED82D088D1215E884050523,0,0,True,S1,80,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S1\initial_condition\frames\frame_0080.png,CCCB0221A526983F385F8EE2FB6EEF1BE7AFA6ADA0D66AEC1DB65D977EA43F50,2,1,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P02.png
P03,3,T17_partial_occlusion,39,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0039.png,886EBF1957570271354ABF27F00885018A6129CD1C9963748E6574A8411D9CE3,1,1,False,S4,49,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0049.png,85A7E5B2883450AC80A3857DA61188C10AB7408FE3755CD0432415A7994F0A18,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P03.png
P04,3,T17_partial_occlusion,39,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0039.png,886EBF1957570271354ABF27F00885018A6129CD1C9963748E6574A8411D9CE3,1,1,False,S4,50,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0050.png,7CFD13EED6BBA0F6441AAB8492AC17626869FC941F18F2F0EC3B73D1CA6002C4,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P04.png
P05,3,T17_partial_occlusion,39,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0039.png,886EBF1957570271354ABF27F00885018A6129CD1C9963748E6574A8411D9CE3,1,1,False,S4,51,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0051.png,A8B7375D2E3B669122BCA7314347D84FFA6FA49EEA79DE0E3FDC43A8DAF5F8B5,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P05.png
P06,4,T05_west_retreat_low,153,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T05_west_retreat_low__frame_0153.png,41CF920DD7C7392B8DC82605CC3411B62BD092F652CB837763976A1AB3BC0F9B,0,0,True,S3,35,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S3\initial_condition\frames\frame_0035.png,CEDE4559439BB56AC31DE7A4CE521B3B91DE1077E2E8A8D11CFAE692D25A4D8E,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P06.png
P07,4,T11_far_to_near,134,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T11_far_to_near__frame_0134.png,150B299B909F3AFF541EFC36A4F924CBC3628554DED82D088D1215E884050523,0,0,True,S1,78,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S1\initial_condition\frames\frame_0078.png,62A33235F4886D4113C6606BE6D2368C62B367E32C362AFD7D54FAF422862B61,2,1,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P07.png
P08,4,T11_far_to_near,134,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T11_far_to_near__frame_0134.png,150B299B909F3AFF541EFC36A4F924CBC3628554DED82D088D1215E884050523,0,0,True,S1,81,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S1\initial_condition\frames\frame_0081.png,DE8C2EB957267CE945839D53E02AC2A547F29F958EADA6A3CF3938A3D5C831DA,2,1,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P08.png
P09,4,T17_partial_occlusion,39,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0039.png,886EBF1957570271354ABF27F00885018A6129CD1C9963748E6574A8411D9CE3,1,1,False,S4,52,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0052.png,1ECA37B0C5B0BD0C50C5445101A6C190D4EF79D1E2B05CCD00C96AB6C906272F,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P09.png
P10,4,T17_partial_occlusion,48,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T17_partial_occlusion__frame_0048.png,7F22D437731BB825CB1EBEBA526E77DD3BC96CEF095236BD1A1FDE8AF55F30EC,1,1,False,S4,58,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S4\initial_condition\frames\frame_0058.png,D6775596723083F43B57D1BEB5C196B572781C777C7470BD3C216D0580019B67,1,0,False,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\final_kci_verification\outputs\near_duplicate_visual_audit_v1\pair_images\P10.png
